iter	Logloss
284	0.5175218377
285	0.5172711011
286	0.5169044744
287	0.5165973097
288	0.5163042931
289	0.5159336967
290	0.5156379785
291	0.5154557921
292	0.5150681999
293	0.5147918172
294	0.5144871994
295	0.5141518641
296	0.5137052081
297	0.5133539745
298	0.5131087445
299	0.5128408198
300	0.5126420275
301	0.5123644579
302	0.5119335633
303	0.5117431504
304	0.5114980976
305	0.5111762771
306	0.5107210467
307	0.5102831645
308	0.5098477323
309	0.5094166524
310	0.5090834723
311	0.5088161698
312	0.5085623952
313	0.5082809388
314	0.5078820136
315	0.5074738568
316	0.5071843989
317	0.5068830784
318	0.5067123023
319	0.5064039994
320	0.5060459996
321	0.5057728417
322	0.5055689185
323	0.5053668489
324	0.5050239303
325	0.5045817325
326	0.504229606
327	0.5039496054
328	0.5037823984
329	0.503595258
330	0.5034330664
331	0.5030203884
332	0.5027881736
333	0.5024238764
334	0.5021612428
335	0.5017764062
336	0.5014535888
337	0.5011026071
338	0.5005900615
339	0.5003414171
340	0.4999332745
341	0.4997142985
342	0.4995082359
343	0.4992786384
344	0.499097012
345	0.4987700095
346	0.4984386446
347	0.4980962909
348	0.497788378
349	0.4973995066
350	0.497167755
351	0.49685025
352	0.4964091421
353	0.4960602813
354	0.4958278509
355	0.4954465246
356	0.4950605188
357	0.4948899552
358	0.4946431174
359	0.4943124974
360	0.4939336911
361	0.4937057386
362	0.4934051769
363	0.4931339746
364	0.4928726714
365	0.4925415724
366	0.4922044823
367	0.4918031142
368	0.4916015148
369	0.4913460252
370	0.4909148077
371	0.4905874472
372	0.4903144484
373	0.4900886993
374	0.4896283929
375	0.489217249
376	0.4890134591
377	0.4885548356
378	0.488232713
379	0.4879008863
380	0.487595282
381	0.4871832967
382	0.4869829804
383	0.4867008263
384	0.4860975951
385	0.4858722763
386	0.4855857358
387	0.4852294426
388	0.4849865811
389	0.4847046889
390	0.4845259816
391	0.4840394319
392	0.4835828536
393	0.4832369259
394	0.4829829674
395	0.4827300914
396	0.4822288389
397	0.4820612108
398	0.4817985914
399	0.4815162702
