time,open,high,low,close,volume
2015-01-02 09:00:00,1186.94,1187.15,1184.67,1185.85,1376300
2015-01-02 10:00:00,1185.85,1188.0,1185.85,1186.6,1538500
2015-01-02 11:00:00,1186.6,1186.99,1184.75,1186.23,1535800
2015-01-02 12:00:00,1186.25,1186.78,1181.2,1182.57,1903400
2015-01-02 13:00:00,1182.55,1183.79,1180.57,1182.68,2379600
2015-01-02 14:00:00,1182.74,1183.54,1173.55,1177.14,3330500
2015-01-02 15:00:00,1177.11,1178.16,1167.33,1174.17,5197700
2015-01-02 16:00:00,1174.13,1174.47,1169.16,1171.64,4973700
2015-01-02 17:00:00,1171.74,1194.29,1171.49,1187.94,7500600
2015-01-02 18:00:00,1187.94,1195.03,1187.62,1192.27,4275000
2015-01-02 19:00:00,1192.26,1192.84,1185.92,1187.43,3536200
2015-01-02 20:00:00,1187.43,1188.85,1182.18,1182.63,3443400
2015-01-02 21:00:00,1182.65,1186.46,1182.43,1185.16,2082200
2015-01-02 22:00:00,1185.17,1187.53,1184.27,1187.4,1698500
2015-01-02 23:00:00,1187.41,1189.18,1186.94,1188.82,523800
2015-01-05 01:00:00,1187.73,1188.28,1178.0,1183.89,731000
2015-01-05 02:00:00,1183.94,1189.94,1182.78,1189.59,1861300
2015-01-05 03:00:00,1189.66,1192.89,1189.57,1191.37,1751400
2015-01-05 04:00:00,1191.34,1194.27,1189.98,1193.03,1312100
2015-01-05 05:00:00,1193.05,1193.85,1192.59,1192.87,912400
2015-01-05 06:00:00,1192.87,1192.87,1191.1,1191.63,847700
2015-01-05 07:00:00,1191.61,1197.77,1191.32,1196.46,1768400
2015-01-05 08:00:00,1196.51,1196.94,1194.72,1196.48,1202400
2015-01-05 09:00:00,1196.45,1197.7,1195.43,1195.72,1668600
2015-01-05 10:00:00,1195.69,1197.4,1193.29,1193.54,1895400
2015-01-05 11:00:00,1193.58,1195.95,1193.05,1194.45,1651800
2015-01-05 12:00:00,1194.47,1195.08,1188.46,1189.67,2521050
2015-01-05 13:00:00,1189.67,1191.24,1186.89,1189.1,2151300
2015-01-05 14:00:00,1189.09,1190.59,1186.79,1189.07,3052600
2015-01-05 15:00:00,1189.07,1199.19,1186.74,1194.34,6521200
2015-01-05 16:00:00,1194.34,1200.5,1193.32,1198.86,7106800
2015-01-05 17:00:00,1198.82,1202.56,1197.32,1198.59,4713387
2015-01-05 18:00:00,1198.66,1198.77,1194.3,1196.33,1315500
2015-01-05 19:00:00,1196.32,1201.33,1195.74,1200.81,2441860
2015-01-05 20:00:00,1200.77,1204.23,1199.55,1202.44,2611266
2015-01-05 21:00:00,1202.33,1204.3,1201.85,1203.82,958507
2015-01-05 22:00:00,1203.72,1207.28,1203.41,1205.65,1204327
2015-01-05 23:00:00,1205.7,1206.27,1203.31,1204.32,413186
2015-01-06 01:00:00,1202.87,1204.73,1201.94,1203.15,306600
2015-01-06 02:00:00,1203.14,1203.63,1201.52,1203.14,488350
2015-01-06 03:00:00,1203.14,1204.65,1202.4,1204.04,993400
2015-01-06 04:00:00,1204.05,1205.27,1203.94,1204.79,509550
2015-01-06 05:00:00,1204.79,1205.73,1204.45,1205.54,540200
2015-01-06 06:00:00,1205.6,1208.01,1205.37,1206.56,520850
2015-01-06 07:00:00,1206.56,1207.22,1205.18,1205.96,575350
2015-01-06 08:00:00,1206.02,1210.35,1205.96,1208.31,1175645
2015-01-06 09:00:00,1208.42,1211.74,1208.31,1208.52,1200178
2015-01-06 10:00:00,1208.54,1212.47,1206.59,1211.53,1374249
2015-01-06 11:00:00,1211.51,1214.16,1210.49,1213.28,1668078
2015-01-06 12:00:00,1213.26,1213.31,1210.2,1210.83,1562760
2015-01-06 13:00:00,1210.81,1211.8,1208.77,1209.94,1185970
2015-01-06 14:00:00,1209.9,1211.09,1207.98,1210.07,992500
2015-01-06 15:00:00,1210.23,1214.0,1208.62,1210.54,1936488
2015-01-06 16:00:00,1210.49,1211.51,1208.08,1209.77,1171900
2015-01-06 17:00:00,1210.09,1213.21,1205.35,1208.7,2761428
2015-01-06 18:00:00,1208.77,1222.92,1207.08,1219.63,3115339
2015-01-06 19:00:00,1219.54,1221.16,1215.57,1216.81,5001409
2015-01-06 20:00:00,1216.96,1220.73,1216.68,1216.9,4018108
2015-01-06 21:00:00,1216.87,1217.81,1214.3,1217.21,2300948
2015-01-06 22:00:00,1217.2,1219.17,1217.12,1218.79,1605294
2015-01-06 23:00:00,1218.84,1219.68,1217.63,1218.35,432300
2015-01-07 01:00:00,1217.66,1218.46,1215.87,1216.03,464949
2015-01-07 02:00:00,1216.4,1218.48,1215.01,1218.0,1257214
2015-01-07 03:00:00,1218.0,1218.09,1215.78,1217.16,593150
2015-01-07 04:00:00,1217.16,1217.66,1216.22,1216.56,687600
2015-01-07 05:00:00,1216.59,1217.19,1214.03,1214.1,1172804
2015-01-07 06:00:00,1214.11,1215.3,1214.03,1215.07,667900
2015-01-07 07:00:00,1215.05,1215.05,1211.94,1213.4,1164470
2015-01-07 08:00:00,1213.49,1215.01,1213.27,1213.74,824286
2015-01-07 09:00:00,1213.68,1214.46,1212.23,1214.04,574150
2015-01-07 10:00:00,1214.03,1216.36,1213.56,1214.65,857000
2015-01-07 11:00:00,1214.64,1217.83,1214.6,1217.0,643855
2015-01-07 12:00:00,1217.0,1218.22,1212.45,1213.14,806412
2015-01-07 13:00:00,1213.14,1214.75,1210.94,1213.32,687695
2015-01-07 14:00:00,1213.35,1213.96,1211.8,1212.7,480785
2015-01-07 15:00:00,1212.62,1213.31,1208.85,1212.24,1857034
2015-01-07 16:00:00,1212.24,1214.07,1210.83,1212.19,2128490
2015-01-07 17:00:00,1212.09,1216.38,1210.52,1214.36,2707979
2015-01-07 18:00:00,1214.36,1216.09,1211.09,1211.97,1571340
2015-01-07 19:00:00,1211.97,1213.91,1210.89,1213.33,1448140
2015-01-07 20:00:00,1213.34,1213.34,1209.93,1210.61,2068840
2015-01-07 21:00:00,1210.61,1216.3,1209.26,1215.58,3340309
2015-01-07 22:00:00,1215.52,1216.52,1211.93,1212.11,2023812
2015-01-07 23:00:00,1212.21,1213.37,1209.65,1210.52,472150
2015-01-08 01:00:00,1210.97,1212.58,1210.93,1212.18,212186
2015-01-08 02:00:00,1212.15,1213.74,1212.04,1212.5,425100
2015-01-08 03:00:00,1212.6,1214.16,1212.0,1212.16,715620
2015-01-08 04:00:00,1212.16,1212.44,1209.48,1210.14,718950
2015-01-08 05:00:00,1210.3,1210.49,1206.48,1207.38,927600
2015-01-08 06:00:00,1207.33,1207.38,1204.68,1207.17,825700
2015-01-08 07:00:00,1207.08,1210.1,1206.67,1209.63,606998
2015-01-08 08:00:00,1209.61,1209.95,1207.87,1208.26,610150
2015-01-08 09:00:00,1208.25,1208.76,1206.74,1208.42,602210
2015-01-08 10:00:00,1208.34,1208.39,1205.47,1207.2,1034470
2015-01-08 11:00:00,1207.25,1208.83,1207.0,1207.68,873650
2015-01-08 12:00:00,1207.64,1208.13,1205.51,1206.19,1156550
2015-01-08 13:00:00,1206.15,1206.83,1204.42,1206.67,840200
2015-01-08 14:00:00,1206.63,1211.03,1205.48,1209.88,1194930
2015-01-08 15:00:00,1209.91,1212.94,1207.5,1212.77,1976989
2015-01-08 16:00:00,1212.74,1216.03,1210.43,1215.62,2126624
2015-01-08 17:00:00,1215.67,1216.54,1212.02,1212.39,2952605
2015-01-08 18:00:00,1212.39,1215.14,1212.11,1213.02,2329380
2015-01-08 19:00:00,1213.02,1214.11,1212.23,1213.29,2331430
2015-01-08 20:00:00,1213.24,1213.48,1206.57,1207.71,3263458
2015-01-08 21:00:00,1207.71,1209.39,1206.61,1207.53,1310725
2015-01-08 22:00:00,1207.38,1208.15,1206.19,1207.18,871450
2015-01-08 23:00:00,1207.23,1208.95,1207.0,1208.69,275045
2015-01-09 01:00:00,1207.5,1208.32,1206.84,1208.02,221500
2015-01-09 02:00:00,1208.01,1209.93,1207.85,1209.6,771318
2015-01-09 03:00:00,1209.6,1212.02,1209.56,1212.02,938000
2015-01-09 04:00:00,1211.97,1212.67,1211.02,1212.47,1019850
2015-01-09 05:00:00,1212.48,1212.96,1210.57,1210.93,517835
2015-01-09 06:00:00,1210.91,1212.46,1210.68,1211.28,474494
2015-01-09 07:00:00,1211.33,1213.04,1211.18,1212.14,523510
2015-01-09 08:00:00,1212.14,1214.15,1211.96,1212.21,582430
2015-01-09 09:00:00,1212.17,1213.03,1210.79,1211.29,603040
2015-01-09 10:00:00,1211.2,1212.2,1210.56,1211.45,514200
2015-01-09 11:00:00,1211.45,1211.66,1209.29,1210.59,924150
2015-01-09 12:00:00,1210.57,1212.03,1210.0,1212.0,744400
2015-01-09 13:00:00,1212.05,1212.3,1210.46,1211.94,366260
2015-01-09 14:00:00,1211.95,1214.0,1209.55,1210.51,1032230
2015-01-09 15:00:00,1210.51,1218.23,1206.16,1214.25,3034139
2015-01-09 16:00:00,1214.17,1216.65,1211.99,1215.26,1671430
2015-01-09 17:00:00,1215.23,1220.75,1215.08,1217.84,2571753
2015-01-09 18:00:00,1217.93,1218.9,1215.22,1215.93,2400228
2015-01-09 19:00:00,1215.98,1218.15,1215.75,1217.93,2992045
2015-01-09 20:00:00,1217.91,1221.2,1215.91,1219.8,2649602
